name,mass,radius,habital_zone_distance
Kepler-201 c,4.45,2.84,-1.65
Kepler-36 b,4.46,1.48,-2.36
Kepler-142 c,4.51,2.86,-2.39
Kepler-172 c,4.51,2.86,-2.32
Kepler-170 c,4.51,2.86,-2.21
Kepler-304 b,4.51,2.86,-2.21
Kepler-140 b,4.54,1.61,-2.45
Kepler-105 c,4.54,1.61,-2.37
Kepler-149 c,4.54,1.61,-1.79
Kepler-62 e,4.54,1.61,-0.69
Kepler-276 b,4.57,2.87,-2.24
Kepler-297 b,4.57,2.87,-1.98
Kepler-10 b,4.6,1.46,-2.43
Kepler-178 c,4.62,2.88,-2.2
Kepler-90 d,4.62,2.88,-1.99
Kepler-208 b,4.65,1.62,-2.44
Kepler-323 c,4.65,1.62,-2.43
Kepler-213 b,4.65,1.62,-2.41
Kepler-319 b,4.65,1.62,-2.33
Kepler-215 b,4.65,1.62,-2.31
Kepler-253 b,4.65,1.62,-2.28
Kepler-202 b,4.65,1.62,-2.17
Kepler-90 f,4.68,2.89,-1.73
Kepler-178 b,4.74,2.9,-2.31
Kepler-314 c,4.74,2.9,-2.29
Kepler-21 b,4.76,1.63,-2.48
Kepler-179 b,4.77,1.64,-2.32
Kepler-247 b,4.77,1.64,-2.27
Kepler-365 c,4.77,1.64,-2.26
Kepler-262 c,4.77,1.64,-2.15
Kepler-130 d,4.77,1.64,-1.85
Kepler-205 c,4.77,1.64,-1.65
HD 20794 d,4.77,1.64,-1.62
Kepler-331 d,4.77,1.64,-1.36
Kepler-325 b,4.8,2.91,-2.37
Kepler-29 c,4.8,2.91,-2.25
Kepler-53 b,4.8,2.91,-2.19
Kepler-67 b,4.8,2.91,-2.1
Kepler-114 d,4.8,2.53,-1.93
Kepler-221 c,4.86,2.92,-2.25
Kepler-153 b,4.86,2.92,-2.12
Kepler-360 b,4.89,1.65,-2.43
Kepler-400 b,4.89,1.65,-2.34
Kepler-123 b,4.92,2.93,-2.32
Kepler-139 b,4.92,2.93,-2.26
Kepler-58 d,4.92,2.93,-2.04
Kepler-219 b,4.98,2.95,-2.4
Kepler-154 c,4.98,2.95,-1.86
Kepler-344 c,4.98,2.95,-1.5
Kepler-394 c,5.02,1.66,-2.38
Kepler-379 b,5.02,1.66,-2.29
61 Vir b,5.09,1.66,-2.34
GJ 667C d,5.1,1.67,1.3
Kepler-288 b,5.14,1.67,-2.38
Kepler-322 c,5.14,1.67,-2.31
Kepler-300 b,5.14,1.67,-2.3
HD 39194 d,5.15,1.67,-1.91
Kepler-223 d,5.16,2.98,-2.26
HD 40307 f,5.21,1.68,-1.47
Kepler-255 c,5.22,2.99,-2.25
Kepler-188 b,5.27,1.68,-2.45
HD 136352 b,5.28,1.68,-2.31
Kepler-338 d,5.28,3,-2.21
Kepler-248 b,5.34,3.01,-2.23
Kepler-180 c,5.34,3.01,-2.04
Kepler-363 c,5.4,1.69,-2.35
Kepler-223 b,5.4,1.69,-2.34
Kepler-269 c,5.4,1.69,-2.32
Kepler-372 d,5.4,1.69,-2.26
Kepler-162 c,5.4,3.02,-2.2
Kepler-57 c,5.4,1.57,-2.11
Kepler-47(AB) b,5.4,3.02,-1.84
Kepler-245 d,5.4,3.02,-1.81
Gl 581 c,5.4,1.69,-1.22
Kepler-385 c,5.46,3.04,-2.34
Kepler-216 c,5.46,3.04,-2.31
Kepler-227 c,5.46,3.04,-1.97
Kepler-341 c,5.54,1.7,-2.36
Kepler-311 b,5.54,1.7,-2.35
Kepler-151 b,5.59,3.06,-2.14
Kepler-351 b,5.59,3.06,-1.95
Kepler-350 c,5.6,3.1,-2.34
GJ 667C b,5.6,1.71,-1.57
Kepler-238 d,5.66,3.07,-2.2
Kepler-346 c,5.66,3.07,-2.2
Kepler-293 b,5.66,3.07,-2.19
Kepler-335 c,5.66,3.07,-2.12
KIC-6436029 b,5.66,3.07,1.82
Kepler-401 b,5.68,1.71,-2.35
Kepler-221 b,5.68,1.71,-2.31
Kepler-317 c,5.68,1.71,-2.26
Kepler-404 c,5.68,1.71,-2.19
Kepler-69 c,5.68,1.71,-1.06
Kepler-92 c,5.69,2.61,-2.21
Kepler-232 b,5.72,3.08,-2.38
GJ 433 b,5.79,1.72,-1.66
Kepler-238 b,5.82,1.72,-2.38
Kepler-231 b,5.82,1.72,-1.7
Kepler-327 d,5.82,1.72,-1.59
Kepler-104 b,5.85,3.1,-2.33
Kepler-227 b,5.85,3.1,-2.33
Kepler-199 b,5.85,3.1,-2.13
Kepler-175 c,5.85,3.1,-2.12
Kepler-209 c,5.85,3.1,-1.93
HD 1461 c,5.91,1.73,-2.27
Kepler-224 c,5.92,3.11,-2.19
Kepler-150 e,5.92,3.11,-2.04
HD 39194 c,5.95,1.74,-2.13
Kepler-260 c,5.96,1.74,-1.55
Kepler-104 c,5.99,3.12,-2.24
Kepler-146 c,5.99,3.12,-1.93
Gl 581 d,6.04,1.74,0.77
Kepler-218 c,6.05,3.14,-1.95
Kepler-301 d,6.1,1.75,-2.24
Kepler-347 c,6.1,1.75,-2.18
Kepler-305 c,6.1,3.3,-2.16
Kepler-403 c,6.1,1.75,-2.1
Kepler-124 c,6.1,1.75,-2.01
Kepler-215 e,6.1,1.75,-1.87
Kepler-296 e,6.1,1.75,-1.36
Kepler-312 c,6.12,3.15,-2.33
Kepler-324 c,6.12,3.15,-1.71
HD 154088 b,6.14,1.75,-2.13
Kepler-222 b,6.19,3.16,-2.32
Kepler-133 b,6.25,1.76,-2.36
Kepler-253 d,6.26,3.17,-2.04
Kepler-177 c,6.3,7.11,-2
HD 215497 b,6.36,1.77,-2.28
Kepler-188 c,6.39,3.19,-2.4
Kepler-391 b,6.39,3.19,-2.32
Kepler-170 b,6.39,3.19,-2.31
Kepler-351 c,6.39,3.19,-1.78
Kepler-87 c,6.39,6.15,-1.71
Kepler-294 b,6.4,1.77,-2.4
Kepler-82 d,6.4,1.77,-2.39
Kepler-321 b,6.4,1.77,-2.38
Kepler-206 c,6.4,1.77,-2.29
Kepler-270 c,6.4,1.77,-2.28
Kepler-215 c,6.4,1.77,-2.26
Kepler-286 e,6.4,1.77,-2.03
GJ 180 c,6.4,1.77,-0.53
GJ 1214 b,6.46,2.67,-1.84
Kepler-371 c,6.56,1.78,-1.83
HD 40307 c,6.61,1.78,-2.09
Gliese 876 d,6.68,1.79,-1.96
Kepler-33 b,6.72,1.79,-2.42
Kepler-366 c,6.72,1.79,-2.34
Kepler-376 c,6.72,1.79,-2.3
Kepler-272 c,6.72,1.79,-2.28
Kepler-204 c,6.72,1.79,-2.21
Kepler-52 c,6.72,1.79,-1.64
Kepler-296 f,6.72,1.79,-0.88
Kepler-33 c,6.75,3.25,-2.37
Kepler-23 c,6.75,3.25,-2.35
Kepler-199 c,6.75,3.25,-1.8
Kepler-368 b,6.82,3.26,-2.25
Kepler-287 c,6.82,3.26,-2.01
Kepler-18 b,6.87,2,-2.34
Kepler-135 b,6.88,1.8,-2.42
Kepler-107 c,6.88,1.8,-2.4
Kepler-356 c,6.88,1.8,-2.36
Kepler-148 b,6.88,1.8,-2.35
Kepler-140 c,6.88,1.8,-1.92
Kepler-50 c,6.99,2.8,-2.42
GJ 3634 b,6.99,1.81,-1.9
Kepler-114 b,7,1.18,-2.1
Kepler-331 b,7.04,1.81,-1.92
Kepler-283 c,7.04,1.81,-0.56
HD 40307 g,7.09,1.82,-0.21
Kepler-207 d,7.12,3.3,-2.41
Kepler-110 b,7.21,1.83,-2.32
GJ 163 c,7.26,1.83,-0.95
Kepler-264 b,7.27,3.33,-2.23
Kepler-275 d,7.27,3.33,-2.23
Kepler-11 d,7.3,3.12,-2.18
Kepler-357 b,7.38,1.84,-2.21
Kepler-274 c,7.38,1.84,-2.13
Kepler-354 b,7.38,1.84,-2.13
Kepler-331 c,7.38,1.84,-1.69
Kepler-225 c,7.38,1.84,-1.36
CoRoT-7 b,7.42,1.67,-2.38
Kepler-28 c,7.49,3.36,-2.03
Kepler-217 c,7.56,1.85,-2.43
Kepler-350 b,7.56,1.85,-2.39
Kepler-341 d,7.56,1.85,-2.17
Kepler-202 c,7.56,1.85,-1.9
Kepler-340 c,7.57,3.37,-2.41
Kepler-143 c,7.57,3.37,-2.23
HD 181433 b,7.57,1.85,-2.13
Kepler-68 b,7.59,2.3,-2.38
HD 1461 b,7.6,1.85,-2.36
KOI-620.02 b,7.6,9.69,-1.39
Kepler-50 b,7.63,2.24,-2.43
Kepler-335 b,7.65,3.38,-2.41
Kepler-275 c,7.65,3.38,-2.35
Kepler-268 c,7.65,3.38,-1.94
Kepler-310 c,7.65,3.38,-1.85
Kepler-139 c,7.65,3.38,-1.53
Kepler-265 b,7.73,1.86,-2.36
Kepler-299 d,7.73,1.86,-2.22
Kepler-191 c,7.73,1.86,-2.06
Kepler-159 c,7.81,3.4,-1.46
HD 97658 b,7.86,2.34,-2.16
Kepler-116 b,7.89,3.42,-2.43
Kepler-299 e,7.92,1.87,-2.02
Kepler-48 d,7.93,2.04,-1.82
Kepler-182 c,7.97,3.43,-2.29
Kepler-357 d,7.97,3.43,-1.69
Kepler-48 b,8.05,1.88,-2.27
Kepler-36 c,8.08,3.68,-2.34
Kepler-291 c,8.1,1.88,-2.38
KOI-1781 b,8.1,1.88,-2.27
Kepler-137 c,8.1,1.88,-2.04
Kepler-107 e,8.13,3.45,-2.32
Kepler-371 b,8.29,1.89,-2.06
Kepler-171 d,8.29,1.89,-1.92
Kepler-399 d,8.29,1.89,-1.64
GJ 180 b,8.3,1.89,-0.87
55 Cnc e,8.32,1.99,-2.37
HD 93385 b,8.36,1.9,-2.32
CoRoT-7 c,8.39,1.9,-2.31
Kepler-11 e,8.4,4.53,-2.11
GJ 176 b,8.43,1.9,-1.72
Kepler-20 b,8.45,1.9,-2.34
Kepler-23 b,8.48,1.9,-2.38
Kepler-349 b,8.48,1.9,-2.37
Kepler-370 c,8.48,1.9,-2.18
Kepler-196 b,8.48,1.9,-1.99
Kepler-158 c,8.48,1.9,-1.66
Kepler-234 c,8.54,3.51,-2.4
BD-061339 b,8.58,1.91,-2.23
HD 41248 c,8.62,1.91,-2.03
Kepler-359 b,8.7,3.53,-2.24
KIC-8552719 b,8.7,3.53,-1.84
GJ 682 c,8.7,1.92,0.2
Kepler-391 c,8.79,3.54,-2.27
Kepler-298 c,8.88,1.93,-1.67
Kepler-329 c,8.88,1.93,-1.65
Kepler-231 c,8.88,1.93,-1.4
HD 96700 b,9.03,1.93,-2.37
Kepler-219 c,9.05,3.57,-2.26
Kepler-104 d,9.05,3.57,-2.09
Kepler-83 d,9.09,1.94,-2
